Sample_No,Date,Sample_Point,Town,Measure,Result,Units
662866,2018-12-27,WA_12904,Wakefield,E. coli,0,Orgs/100mL
612571,2018-06-28,SN_14788,Snake's Canyon,E. coli,0,Orgs/100mL
693558,2018-06-28,SW_10554,Swadlincote,Turbidity,0.2,NTU
639297,2018-07-04,WA_17864,Wakefield,E. coli,0,Orgs/100mL
627538,2018-07-02,PA_10485,Paethsmouth,Turbidity,0.2,NTU
622001,2018-06-28,ST_13895,Strathmore,E. coli,0,Orgs/100mL
671350,2018-06-28,ME_11431,Merton,E. coli,0,Orgs/100mL
675407,2018-06-28,ST_17872,Strathmore,E. coli,0,Orgs/100mL
682207,2018-06-28,PO_16870,Pontybridge,E. coli,0,Orgs/100mL
698783,2018-08-16,SO_17892,Southwold,E. coli,0,Orgs/100mL
641201,2018-08-16,ME_15547,Merton,E. coli,0,Orgs/100mL
622387,2018-08-23,SN_15690,Snake's Canyon,E. coli,0,Orgs/100mL
674789,2018-08-23,ME_15640,Merton,E. coli,0,Orgs/100mL
692855,2018-08-22,WA_12904,Wakefield,E. coli,0,Orgs/100mL
674202,2018-08-23,ME_14145,Merton,E. coli,0,Orgs/100mL
693725,2018-08-16,PO_10936,Pontybridge,E. coli,0,Orgs/100mL
603933,2018-08-23,BL_13006,Blancathey,E. coli,0,Orgs/100mL
676030,2018-08-23,TA_11822,Tarnstead,E. coli,0,Orgs/100mL
624766,2018-07-16,PA_11116,Paethsmouth,E. coli,0,Orgs/100mL
601682,2018-07-12,SO_11580,Southwold,Turbidity,0.1,NTU
625702,2018-07-12,SW_11069,Swadlincote,Turbidity,0.2,NTU
659894,2018-07-12,BE_13422,Bellmoral,Turbidity,0.2,NTU
639741,2018-04-03,PA_11469,Paethsmouth,E. coli,0,Orgs/100mL
600137,2018-03-28,WA_15101,Wakefield,THM,0.011,mg/L
661821,2017-11-09,SO_18754,Southwold,E. coli,0,Orgs/100mL
646717,2017-11-09,ME_10188,Merton,E. coli,0,Orgs/100mL
