V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,PID,psid,K2,project,gc,term,Q_TotalDuration,med,consent,city,tap,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,hardship,contact,trap,t01,t02,t03,t04,t05,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,PID,psid,K2,project,gc,term,Q_TotalDuration,med,consent,In which city do you live?,Do you have tap water in your house?,PII-Important:Unimportant,PII-Relevant:Irrelevant,PII-Meaningless:Meaningful,PII-Worthless:Valuable,PII-Not needed:Needed,PII-Boring:Interesting,PII-Exciting:Unexciting,PII-Appealing:Unappealing,PII-Fascinating:Mundane,PII-Involving:Uninvolving,hardship,contact,trap,SERVAQUA-Tap water is available whenever I need it.,SERVAQUA-My tap water is always safe to drink.,SERVAQUA-My tap water is always visually appealing.,SERVAQUA-My tap water always has a pleasant taste.,SERVAQUA-My tap water always has sufficient pressure.,SERVAQUA-My water bills are always accurate.,SERVAQUA-The services provided by my water utility are reliable.,SERVAQUA-My water utility always provides good customer service.,SERVAQUA-I can always depend on the services of my water utility.,SERVAQUA-Employees of my water utility have the knowledge to answer my questions.,SERVAQUA-My water utility consistently provides the services they promise.,SERVAQUA-Employees in my water utility give me prompt service.,"SERVAQUA-When I have problems, my water utility is sympathetic and understanding.",SERVAQUA-My water utility has my best interests at heart.,SERVAQUA-Employees of my water utility are always be willing to help me.,SERVAQUA-My water bills are easy to understand.,SERVAQUA-Employees of my water utility are consistently polite.,SERVAQUA-My water utility provides me with sufficient information.
R_eqvaSnwkUPEwKz3,Default Response Set,Anonymous,,,159.83.4.56,0,2015-03-18 09:52:14,2015-03-18 09:53:41,1,1154949235,iZXUO4qzTRS23SsvPItAVQ**,27197,Qual712-0618WaterUtilities,1,,87,17358886974853,1,1,1,1,1,7,7,7,7,1,1,1,1,1,2,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
R_8BOAyMxMfu0gkLz,Default Response Set,Anonymous,,,209.73.136.53,0,2015-03-18 09:52:14,2015-03-18 09:54:57,1,1276643884,iZXUO4qzTRRByVq90zrhcA**,27197,Qual712-0618WaterUtilities,2,attention,163,,1,1,1,5,4,2,3,4,3,4,4,5,3,6,5,0,,,,,,,,,,,,,,,,,,
R_6W5ljiAOy14oRnf,Default Response Set,Anonymous,,,50.164.237.144,0,2015-03-18 09:56:05,2015-03-18 09:56:27,1,1277801506,iZXUO4qzTRSbI89TBnFmmg**,27197,Qual712-0618WaterUtilities,2,otherCity,22,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_d5KZUxOzfhQGOmF,Default Response Set,Anonymous,,,98.112.142.73,0,2015-03-18 10:02:13,2015-03-18 10:02:56,1,1277774343,iZXUO4qzTRRbCIeslj5wnw**,27197,Qual712-0618WaterUtilities,2,otherCity,43,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_50zNvLsNRxFctxj,Default Response Set,Anonymous,,,108.7.154.221,0,2015-03-18 10:02:20,2015-03-18 10:03:57,1,1251558449,iZXUO4qzTRRT-nYVuf1QHw**,27197,Qual712-0618WaterUtilities,1,,97,18810923461273,1,3,1,1,1,1,7,7,7,1,1,1,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7
R_3env6Rl1UGW2m4R,Default Response Set,Anonymous,,,67.176.34.18,0,2015-03-18 10:02:36,2015-03-18 10:05:51,1,1132238400,iZXUO4qzTRTdXmenMvpOag**,27197,Qual712-0618WaterUtilities,1,,195,17017543124803,1,2,1,2,6,3,2,5,1,7,7,6,5,5,2,1,4,2,1,7,4,4,3,3,7,4,3,4,4,2,2,5,1,4
R_ekUQoN4swTW1yFD,Default Response Set,Anonymous,,,173.76.107.87,0,2015-03-18 10:04:54,2015-03-18 10:11:01,1,1273490676,iZXUO4qzTRRmHFzeelKx2A**,27197,Qual712-0618WaterUtilities,1,,367,19140564833083,1,3,1,1,1,7,7,7,4,4,3,4,6,1,1,1,6,2,2,3,6,5,2,2,3,2,3,2,3,3,2,5,2,3
R_bOZJK1TfWhRdCoB,Default Response Set,Anonymous,,,128.177.161.161,0,2015-03-18 10:05:04,2015-03-18 10:11:46,1,1277686539,iZXUO4qzTRRAEUQQc-Eiuw**,27197,Qual712-0618WaterUtilities,1,,402,19203628653973,1,2,1,1,1,7,7,7,7,1,1,2,1,2,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
R_0ceqWwHTFkDgdgh,Default Response Set,Anonymous,,,67.176.35.149,0,2015-03-18 10:10:17,2015-03-18 10:12:52,1,1230292148,iZXUO4qzTRR3HSe0TBmnJw**,27197,Qual712-0618WaterUtilities,1,,155,18491290957243,1,2,1,1,1,7,7,7,4,4,4,4,4,1,1,1,6,6,4,2,6,6,6,4,6,4,6,4,1,1,4,6,4,4
